site_name,site_type,date_visited,rb_amount,sal_amount,gps NAD27 raw,gps WGS84 easting,gps WGS84 northing,gps NAD83 easting,gps NAD83 northing,longitude,latitude,gps_error_m,air_temp_strt,air_temp_end,air_temp_ave,soil_temp_site,air_moist_strt,air_moist_end,air_moist_avg,ave_t_under,ave_temp_diff,ave_m_under,ave_moist_diff,urban_level,patch_size,satellite_images,satellite_date,forest_type,soil_type,soil_moist_site_pc,soil_moist_site_v,canopy,pH,objects_flipped,leaf_litter,species_richness,weather_station,annual_temp,annual_precip,days_of_snow,sum_temp,wint_temp,MAT,MAP,AHM,DD18,RH,Tave_wt,Tave_sm,city_center,MAT_center,MAP_center,AHM_center,DD18_center,RH_center,Tave_wt_center,Tave_sm_center,MAT_diff,MAP_diff,AHM_diff,DD18_diff,RH_diff,Tave_wt_diff,Tave_sm_diff,julian_date,ecoregion
Louise_W_Basset,natural,08/13/2023,0,0,19 0648486 5081571,648539.0817,5081798.569,648539.0817,5081798.569,-67.08603,45.873723,1.8,15.2,16.4,15.8,17.9,90,100,95,NA,NA,NA,NA,3.4,11.637,google,08/2021,deciduous,peat,50.9,536,93.76,6.2,385,1,0,fredericton cda cs,7.258448753,1340.7,140,9.240883978,-4.893333333,5.5,1169,13.3,140,61,-7.5,17.7,Fredericton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23225,NB5
Keyhole,natural,08/16/2023,8,8,19 0725765 5092686,725818.3697,5092914.158,725818.3697,5092914.158,-66.086112,45.952636,1.8,18,21.1,19.55,18.3,82,91,86.5,18.5625,-0.2625,26.825,47.775,2.4,13.871,google,09/2015,mixed,peat,74.6,846,93.94,5.3,616,1.3,1,fredericton intl A,6.836338028,1197.6,NA,14.63125,-0.827932961,6,1141,14,167,63,-6.9,18.2,Minto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23228,NB7
Cookville,natural,08/28/2023,6,6,20 0396533 5095268,396584.9561,5095493.584,396584.9561,5095493.584,-64.335684,46.00521,2.5,14.2,19.1,16.65,13,90,66,78,14.73333333,-1.733333333,38.5,20,1.7,0.424,google,05/2017,mixed,peat,58.5,636,88.56,6.4,271,3.3,1,Nappan Auto,7.388579387,1188.7,72,14.23021978,0.353672316,6.2,1156,14,133,67,-5.5,17.5,Sackville,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23240,NB6
Mapleton_Park,urban,05/30/2023,24,24,20 0358217 5109240,358269.3092,5109465.171,358269.3092,5109465.171,-64.834497,46.12404,1.8,14.3,24,19.15,9.8,62,28,45,13.66666667,-3.866666667,54.87916667,17.22083333,52.7,0.909,google,09/2017,mixed,clay,72.1,810,94.8,5.8,273,5.5,1,moncton/greater moncton romeo leblanc intl a,7.042857143,1180.2,113,14.42637363,-0.340659341,6.1,1182,13.6,158,63,-6.2,18,Moncton,6.3,1179,13.8,161,63,-5.9,18,-0.2,3,-0.2,-3,0,-0.3,0,23150,NB6
Odell_Park,urban,06/15/2023,213,213,19 0680554 5090999,680607.1017,5091226.87,680607.1017,5091226.87,-66.669591,45.950847,1.8,16.06666667,19.23333333,17.65,15.9,61.66666667,64,62.83333333,15.55258216,0.34741784,43.43450292,3.065497076,20.7,1.332,google,06/2019,mixed,clay,46.5,466,89.6,5.9,746,5,1,fredericton cda cs,7.258448753,1340.7,140,9.240883978,-4.893333333,5.7,1142,13.7,157,63,-7.4,18,Fredericton,6,1131,14.1,172,63,-7.1,18.3,-0.3,11,-0.4,-15,0,-0.3,-0.3,23166,NB7
Reading_St,urban,06/16/2023,8,8,19 0682446 5089276,682499.1293,5089503.877,682499.1293,5089503.877,-66.645855,45.934852,1.8,14.1,16.5,15.3,15.3,100,97,98.5,14.5875,0.7125,23.15,-3.95,85,0.117,google,6/2019,coniferous,peat,19.2,140,89.6,6.4,303,1,1,fredericton cda cs,7.258448753,1340.7,140,9.240883978,-4.893333333,5.6,1160,13.4,150,63,-7.5,17.9,Fredericton,6,1131,14.1,172,63,-7.1,18.3,-0.4,29,-0.7,-22,0,-0.4,-0.4,23167,NB7
Riverview_High,urban,06/20/2023,18,18,20 0360632 5101451,360684.3571,5101676.069,360684.3571,5101676.069,-64.800971,46.054468,1.8,13.4,15.1,14.25,12.9,82,76,79,12.75555556,0.144444444,30.78333333,13.01666667,72.4,0.1,google,08/2022,deciduous,peat,43.8,433,78.16,5.25,345,2.5,1,moncton/greater moncton romeo leblanc intl a,7.042857143,1180.2,113,14.42637363,-0.340659341,6.1,1188,13.5,154,63,-6.2,17.9,Riverview,6.3,1181,13.8,160,63,-5.9,18,-0.2,7,-0.3,-6,0,-0.3,-0.1,23171,NB6
Centennial_Park,urban,06/21/2023,12,12,20 0359163 5104815,359215.338,5105040.117,359215.338,5105040.117,-64.820947,46.08443,1.8,16.5,22.7,19.6,15.8,76,55,65.5,14.825,0.975,33.83333333,14.86666667,67.3,0.207,google,09/2017,coniferous,peat,48.7,502,87.52,5.8,240,1,1,moncton/greater moncton romeo leblanc intl a,7.042857143,1180.2,113,14.42637363,-0.340659341,6.2,1180,13.7,159,63,-6,18,Moncton,6.3,1179,13.8,161,63,-5.9,18,-0.1,1,-0.1,-2,0,-0.1,0,23172,NB6
Claude_D_Taylor,urban,06/22/2023,36,36,20 0359151 5101168,359203.3457,5101393.104,359203.3457,5101393.104,-64.820023,46.05162,1.8,20.2,27.1,23.65,21.3,34,44,39,18.16388889,3.136111111,30.64166667,-0.641666667,70.6,0.09,google,08/2022,mixed,peat,30,257,94.8,6.2,256,2,1,moncton/greater moncton romeo leblanc intl a,7.042857143,1180.2,113,14.42637363,-0.340659341,6.2,1184,13.7,156,63,-6,18,Riverview,6.3,1181,13.8,160,63,-5.9,18,-0.1,3,-0.1,-4,0,-0.1,0,23173,NB6
Point_Pleasant,urban,06/28/2023,155,155,20 0454467 4941201,454520.1551,4941425.936,454520.1551,4941425.936,-63.573313,44.624749,2,15.55,17.4,16.475,16,100,100,100,14.42026144,1.579738562,43.73202614,20.46797386,50.2,0.689,google,10/2016,mixed,peat,64.2,688,97.92,6,804,4,1,shearwater rcs,8.761325967,1604.8,45,14.62983425,2.89281768,7.3,1435,12.1,158,68,-3.1,17.8,Halifax,7.3,1440,12,157,68,-3.2,17.8,0,-5,0.1,1,0,0.1,0,23179,NS127
Rockwood,urban,07/06/2023,46,46,19 0731015 5019200,731066.3228,5019425.434,731066.3228,5019425.434,-66.053326,45.290309,1.9,14.2,17,15.6,15.5,100,96,98,16.4,-0.9,68.07173913,31.92826087,52.6,0.087,google,06/2021,deciduous,peat,100,1330,97.92,5.7,354,4,1,saint john A,6.645325779,1702.4,72,13.45195531,-0.356896552,6.5,1340,12.3,95,69,-4.5,16.6,Saint John,6.5,1336,12.4,95,70,-4.4,16.5,0,4,-0.1,0,-1,-0.1,0.1,23187,NB4
Westbrook_Circle,urban,07/31/2023,13,13,20 0357408 5106634,357460.3094,5106859.172,357460.3094,5106859.172,-64.844181,46.100429,1.8,17.2,21.6,19.4,18.7,81,66,73.5,16.93846154,1.761538462,30.09230769,69.90769231,55,0.45,google,09/2017,mixed,peat,100,1068,90.64,6.3,244,2,1,moncton/greater moncton romeo leblanc intl a,7.042857143,1180.2,113,14.42637363,-0.340659341,6.1,1182,13.6,158,63,-6.2,18,Moncton,6.3,1179,13.8,161,63,-5.9,18,-0.2,3,-0.2,-3,0,-0.3,0,23212,NB6
Ecole_Le_Marais,urban,08/01/2023,16,16,20 0369516 5103214,369568.381,5103438.911,369568.381,5103438.911,-64.68666,46.072079,1.8,16.3,19.3,17.8,15.8,88,70,79,15.79375,0.00625,22.55,-7.45,53.7,0.053,apple,NA,coniferous,peat,15.1,115,80.6,6.1,586,1,1,moncton/greater moncton romeo leblanc intl a,7.042857143,1180.2,113,14.42637363,-0.340659341,6.2,1186,13.6,154,64,-6,17.9,Dieppe,6.3,1179,13.8,161,63,-5.9,18,-0.1,7,-0.2,-7,1,-0.1,-0.1,23213,NB6
St_Anselme,urban,08/01/2023,0,0,20 0367478 5102629,367530.3829,5102853.941,367530.3829,5102853.941,-64.712839,46.066425,1.9,19.6,21.1,20.35,17.5,63,50,56.5,NA,NA,NA,NA,63.8,0.345,google,09/2017,deciduous,peat,57.7,836,93.76,6.2,435,1.5,0,moncton/greater moncton romeo leblanc intl a,7.042857143,1180.2,113,14.42637363,-0.340659341,6.2,1179,13.8,158,64,-5.9,18,Dieppe,6.3,1179,13.8,161,63,-5.9,18,-0.1,0,0,-3,1,0,0,23213,NB6
UNBSJ,urban,08/02/2023,30,30,19 0728191 5021149,728242.2885,5021374.396,728242.2885,5021374.396,-66.088395,45.308753,1.8,19,21,20,20.1,59,60,59.5,17.85666667,2.243333333,46.10333333,-23.70333333,24.6,1.79,google,08/2016,mixed,peat,22.4,172,89.6,6.6,413,1.5,1,saint john A,6.645325779,1702.4,72,13.45195531,-0.356896552,6.5,1324,12.5,99,69,-4.5,16.7,Saint John,6.5,1336,12.4,95,70,-4.4,16.5,0,-12,0.1,4,-1,-0.1,0.2,23214,NB4
